Refid,User,Level,ID,Trial_ID,ID_related,Country,Country_comment,Funding_type,Funding_type_comment,publication_type,publication_type_comment,Trial_status,Trial_status_comment,study_design,study_design_comment,AE_NonRCT,study_size,Study Size Comment (optional),power_calculation,power_calculation_comment,Mean age in years,Gender,CancerType,CancerType_comment,number_metastases,volume_metastases,size_metastases,prognosis_info,Prognosis,Prognosis_comment,Intervention,KeyQuestion,arm1intervention,arm1radiationdose,arm1_co-treatment,quality_arm,quality_arm_comment,arm1_randomized,arm1_analyzed,arm2_passive_active,arm2_passive_active_comment,arm2control,arm2radiationdose,arm2_co-treatment_type,arm2_randomized,arm2_analyzed,arm3comparator,arm3radiationdose,arm3_co-treatment_type,arm3_randomized,arm3_analyzed,outcomes,Followup_start_intervention,Followup_end_intervention,Overallsurvival_measure_description,Overallsurvival_survival_months,Overallsurvival_survival_control,Overallsurvival_3rd_arm,overallsurvival_survivalhazardratio,overallsurvival_SE_HR_control,overallsurvival_lowerCI_HR_control,overallsurvival_upperCI_HR_control,overallsurvival_survivalhazardratio_3rd_arm,overallsurvival_lower_CI_3rd_arm,overallsurvival_upper_CI_HR_3rdarm,Overallsurvival_notmeasured,overallsurvival_notes_Owen,QOL_measure_description,QOL_mean,QOL_mean_control,QOL_standard_deviation,QOL_standard_deviation_control,QOL_not_measured,Cognitive_function_measure,Cognitive_function_mean,Cognitive_function_mean_control,Cognitive_function_standard_deviation,Cognitive_function_standard_deviation_control,Cognitive_function_not_measured,deaths_measure,deaths_n_participants,deaths_n_participants_control,deaths_not_measured,death_notes_Owen,diseasefree_measure,diseasefree_survival_months,diseasefree_survival_months_control,diseasefree_survival_months_3rd_arm,disease-free_survival_survivalhazardratio,disease-free_survival_lowerCI_HR_control,disease-free_survival_upperCI_HR_control,diseasefree_not_measured,disease-free_notes_Owen,intracranial_measure,intracranial_n_participants,intracranial_n_participants_control,intracranial_n_participants_3rd_arm,intracranial_survivalhazardratio,intracranial_lowerCI_HR_control,intracranial_upperCI_HR_control,intracranial_not_measured,intracranial_notes_Owen,functionalstatus_measure,functionalstatus_scale_validation,functionalstatus_mean,functionalstatus_mean_control,functionalstatus_standard_deviation,functionalstatus_standard_deviation_control,functionalstatus_not_measured,SAE_measure,SAE_n_participants,SAE_n_participants_control,SAE_n_participants_3rd_arm,SAE_notes_Owen,AE_measure,AE_n_participants,AE_n_participants_control,AE_n_participants_3rd_arm,AE_not_measured,AE_notes_Owen,radiation_necrosis_measure,radiation_necrosis_n_participants,radiation_necrosis_n_participants_control,radiation_necrosis_n_participants_3rd_arm,radiation_necrosis_not_measured,radiation_necrosis_notes_Owen,fatigue_measure,fatigue_n_participants,fatigue_n_participants_control,fatigue_n_participants_3rd_arm,fatigue_not_measured,Fatigue_notes_Owen,seizure_measure,seizure_n_participants,seizure_n_participants_control,seizure_n_participants_3rd_arm,Seizure_notes_Owen,vomiting_measure,vomiting_n_participants,vomiting_n_participants_control,vomiting_n_participants_3rd_arm,vomiting_not_measured,Vomiting_notes_Owen,headaches_measure,headaches_n_participants,headaches_n_participants_control,headaches_n_participants_3rd_arm,headaches_notes_Owen,other_AE_measure,other_AE_n_participants,other_AE_n_participants_control,other_AE_n_participants_3rd_arm,other_AE_not_measured,other_AE_notes_Owen,Additional effectiveness continuous outcome_1_measure_descr,Additional effectiveness continuous outcome_1_survival,Additional effectiveness continuous outcome_1_survival_control,Additional effectiveness continuous outcome_1_not measured,Additional effectiveness categorical outcome_1_measure,Additional effectiveness categorical outcome_1_n_participants,Additional effectiveness categorical outcome_1_n_participants_control,Additional effectiveness categorical outcome_1_not_measured,selectionbias,selectionbias_comment,performancebias,performancebias_comment,attritionbias,attritionbias_comment,detectionbias,detectionbias_comment,reportingbias,reportingbias_comment,otherbias,otherbias_comment,otherbias_scale,otherbias_scale_comment,data_collection_AE,data_collection_AE_comment,reporting_AE,reporting_AE_comment,overall_health_outcomes,overall_health_outcomes_comment,overall_AE,overall_AE_comment,Comments,doublechecked,doublechecked_comment
8,agarsa,3,"Mulvenna, 2016{#8}",NCT00403065,"Langley, 2013{#2457}; Medical Research Council{#6596}",Multinational,UK and Australia,Non industry,,Journal,,OK,,RCT,,NA,538,,Yes,quality-adjusted life-years,66 [median],42% female,Lung cancer only,,N/A,N/A,N/A,"poor prognosis (37.5% RPA class 3, 55.9% RPA class 2, 5.6% RPA class 1)",Poor,,"WBRT : With Dexamethasone and supportive care,Observation : Dexamethasone and supportive care",KQ1 : WBRT vs supportive care,WBRT + supportive care,"2000 cGy, 5 fractions, qd",Optimal supportive care with dexamethasone dexamethasone (given with a proton pump inhibitor with the dose determined by the patients’ symptoms),OK,,269,269,Passive,,Supportive care alone,,Optimal supportive care with dexamethasone dexamethasone (given with a proton pump inhibitor with the dose determined by the patients’ symptoms),269,269,,,,,,"Overall survival,Quality of Life,Number of patients with serious adverse events,Other efficacy outcomes : QALYs",12 weeks,,Time to death,,,,1.06,,0.90,1.26,,,,,,EQ-5D,,,,,"The number of patients with maintained or improved quality of life compared with baseline was similar between the groups at 4, 8, and 12 weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common Terminology Criteria for Adverse Events version 3.0,89,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quality-adjusted life-years (QALY),,,A difference of -4.7 QALY days in favor of WBRT (90% CI of –12.7 to 3.3),,,,,Low risk,centralized randomization,Low risk,"blinding not possible, but unlikely to affect outcome",Low,"Attrition described. More than 90% follow?up forms received, 80% expected quality of life forms completely filled in, only 1 participant lost to follow?up",Moderate/Unclear,Quality-adjusted life year is subject to detection bias,Low risk ,all outcomes reported,Low risk,"no early termination, intent to treat analysis",Unclear,EQ-5D not validated for brain tumors (is well validated for cancer patients in general),Moderate/Unclear,"Used CTCAE, but unclear how they were collected (if actively or passively). If they took data from their symptom survey (included in the supplementary), then patients reported none/mild/mod/sev but that does not explain what consistutes those categories.",Low bias,,Low,,Neutral,Unclear how adverse events were collected. Reporting of events and their severity subject to several biases because of non-blinding.,,double checked,
10,agarsa,3,"Aoyama, 2006{#10}",C000000412,"Aoyama, 2007{#104}; Aoyama, 2015{#26} (JROSG 99-1); Aoyama, 2006{#6368}; Japanese Radiation Oncology Study Group{#8401}",Japan,,Non industry,no COI,Journal,,OK,,RCT,,NA,132,,Yes,survival,"WBRT+ SRS: 62.5 [mean],  SRS: 62.1 [mean]",WBRT+ SRS: 29% female and SRS:  21%,Different cancer types,73% lung or breast,1-4 brain metastases (mean not stated),N/A,WBRT+ SRS: 1.53(0.78)  and SRS:  1.42(0.79),mixed good to moderate prognosis,Unclear,"14.4% RPA class 1, 85.6% RPA class 2","SRS,WBRT + SRS",KQ2 : SRS +/- WBRT (SRS as primary tx),WBRT +  SRS,"WBRT: 3000 cGy,  10 fractions, qd, SRS: 1260 cGy to 1750 cGy, 1 fraction",,OK,,65,65,Passive,,SRS,"metastases 2 cm or smaller: 2200 to 2500 cGy in 1 fraction, and larger than 2 cm were treated with 1800 to 2000 cGy in 1 fraction",,67,67,,,,,,"Overall survival,Death due to brain metastases,Intracranial progression/central nervous system failure : Brain tumor recurrence,Functional status : KPS,Number of patients with serious adverse events,Number of adverse events,Radiation necrosis,Fatigue,Seizure,Other AE : Leukoencephalopathy,Other efficacy outcomes : New brain metastases at distant sites",,,,7.5,8.0,,,,,,,,,,"Multivariate HR (can't be included in analyses); HR: 1.37, CI: (0.93, 1.98)",,,,,,,,,,,,,,,,,,,,,,,,,,,Brain tumor recurrence at either distant or local sites in the brain,23,40,,,,,,,Systemic functional preservation rates (KPS score >=70) at 12 months,Validated,,,,,No significant difference in systemic functional preservation rates at 12 months between groups.,Grade 4 neurotoxic effects based on Common Toxicity Criteria version 2.0,2,2,,,"Acute and late toxicity, radiological leukoencephalopathy",18,13,,,,,3,1,,,,Lethargy,1,0,,,,Seizure from both acute and late toxicity,1,5,,,,,,,,,,,,,,Radiological leukoencephalopathy,7,2,,,,,,,,New brain metastases at distant sites,21,34,,Low risk,"ermuted-blocks randomization algorithm, stratified prior to randomization",Low risk,"blinding not possible, survival unlikely to be affected",Low,none lost to follow-up,Low risk,"not blinded, survival unlikely to be affected",Low risk ,all outcomes reported,Low risk,"no early termination, intent to treat analysis",High,Used neurologic function scale that is not validated and subject to interpretation/bias. The scale may not actually reflect neurologic function in the way they are using it.,Moderate/Unclear,"Used RTOG and NCI CTC, but unclear how they were collected (if actively or passively). Some of their toxicity has clear criteria in how it was elicited but symptoms falling in the ""Other"" category lack detail in how they were collected.",Low bias,"defined adverse events, number of participants not events",Low,,Neutral,Unclear how some adverse events were collected. Reporting of events and their severity subject to several biases because of non-blinding.,,,
12,agarsa,3,"Kocher, 2011{#12}",NCT00002899,"Churilla, 2017{#28}; Churilla, 2018{#950}; Mueller, 2009{#8400}; Organization for European Research, 2007{#6535}",Multinational,"Germany, Italy, Turkey, Spain, France, Netherlands, Israel, Finland, Latvia, Belgium",Non industry,,Journal,,OK,,RCT,,AEnonRCT,359,,Yes,duration of functional independence,60 [median],35% female,Different cancer types,"70% lung, breast or melanoma",1.25 (mean),N/A,unclear,"good to moderate prognosis: WHO performance status 0: 44%, 1: 45%, 2: 11%",Unclear,"good to moderate prognosis: WHO performance status 0: 44%, 1: 45%, 2: 11%","SRS,Surgery only,WBRT + SRS,WBRT + surgery","KQ2 : SRS +/- WBRT,KQ3 : surgery +/- WBRT",(Surgery or SRS)+ WBRT,"3000 cGy, 10 fractions, qd",Complete surgery or SRS,OK,,180,180,Passive,(Surgery or SRS) + observation,(Surgery or SRS) + observation,,Complete surgery or SRS and observation,179,179,,,,,,"Overall survival,Death due to brain metastases,Disease-free survival,Intracranial progression/central nervous system failure,Functional status,Number of patients with serious adverse events,Radiation necrosis,Seizure,Other efficacy outcomes : Median progression-free survival",,,,10.9,10.7,,0.98,,0.78,1.24,,,,,"Hazard ratio okay, try and ctrl need to be switched in form",,,,,,,,,,,,,Deaths due to intracranical progression,50,78,,,Progression-free survival,4.6,3.4,,,,,,,Progression at both initial sites and new sites,87,139,,,,,,,Median time to WHO PS more than 2,Validated,,,,,"No difference was found between the two arms (HR 0.96; 95% CI, 0.76 to 1.20; P =.71).",Serious acute toxicities related to surgery and radiosurgery evaluated by serious adverse event forms,13,3,,,,,,,,,,2,1,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,Median progression-free survival,4.6,3.4,"Median progression-free survival was slightly longer in patients receiving WBRT (4.6 months; 95% CI, 3.9 to 6.1 months) compared with those on OBS alone  (3.4 months; 95% CI, 3.1 to 3.9 months; P=.020).",,,,,Low risk,"Within 4 weeks after surgery or within 2 weeks before radiosurgery, patients were allocated to WBRT or OBS by a minimization algorithm stratifying for institution, brain metastases (one v  one metastasis), local treatment (radiosurgery v surgery), macroscopic tumor outside the brain (present v absent), and initial WHO PS (0 to 1 v 2).",Low risk,"Not blinded, but survival unlikely to be affectedNot blinded, but survival unlikely to be affected",Moderate/Unclear,Attrition not completely described.,Low risk,"Not blinded, but survival unlikely to be affectedNot blinded, but survival unlikely to be affected",Low risk ,reported all specified outcomes,Low risk,"no early termination, intent to treat analysis",Low,EORTC QLQC30 with brain module,Low Risk,"LENTSOMA, actively collected",Moderate/Unclear bias,Only reported acute toxicity in WBRT arm,Low,,Neutral,Acute events not reported for both arms. Reporting of events and their severity subject to several biases because of non-blinding.,,,
13,agarsa,3,"Chang, 2009{#13}",NCT00548756,"Lal, 2012{#46}; Marko, 2010{#95}; Anderson Cancer Center, 2019{#6568}",USA,,Non industry,,Journal,,Early termination,due to significantly worse cognitive decline in SRS+WBRT group,RCT,,NA,58,,Yes,neurocognitive endpoint of total recall,"SRS 63 [median], SRS + WBRT: 64 [median]",SRS: 60% female;  SRS + WBRT: 39% female,Different cancer types,"81% lung, breast or melanoma",mean 1.6 (range 1-3),"SRS alone: median 1.4 cm3 (SD 4.6), SRS+WBRT: median 2.3 cm3 (SD 6.3)",N/A,"mixed good to moderate (17.2% RPA class 1, 82.8% RPA class 2)",Unclear,,"SRS,WBRT + SRS",KQ2 : SRS +/- WBRT (SRS as primary tx),SRS + WBRT,"WBRT: 3000 cGy, 12 fractions, qd. SRS: 1500-2400 cGy, 1 fraction",,OK,,28,28,Passive,,SRS,SRS: 1500-2400 cGy in 1 fraction,,30,30,,,,,,"Overall survival,Quality of Life,Cognitive function,Death due to brain metastases,Intracranial progression/central nervous system failure,Number of patients with serious adverse events,Number of adverse events,Radiation necrosis,Other efficacy outcomes",,9.5 months,Median survival,15.2,5.7,,,,,,,,,"The median and 1-year survival was higher for the SRS alone group than for patients in the SRS plus WBRT group (15.2 vs 5.7 months, 63% vs 21%; p=0·003).",,Functional Assessment of Cancer Therapy–Brain (FACT-BR) at 4 months,58.0,65.6,,,Difference between groups at 4 months was inconclusive (mean difference 2.8; 95% CI -26 to 21; p=.76).,Significant deterioration (a drop of at least 5 points from baseline) in Hopkins Verbal Learning Test–Revised (HVLT-R) total recall at 4 months,,,,,Mean posterior probability of decline was 52% for the SRS plus WBRT group and 24% for the SRS alone group.,Neurological deaths,7,8,,,,,,,,,,,,Symptomatic intracranial progression,2,8,,,,,,,,,,,,,,Grade 4 toxicity,0,1,,,Grade 3/4 toxicity,1,3,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNS recurrence at 1 year,,,"73% of patients in the SRS plus WBRT group were free from CNS recurrence at 1 year, compared with 27% of patients who received SRS alone (p=0·0003).",Low risk,"1:1 randomization standard permutated block algorithm in which block sizes wererandomly chosen from 2, 4, 6, or 8. The sequence was concealed until interventions were assigned by the Clinical Oncology Research (CORE) database computer",Low risk,"Not blinded, but survival unlikely to be affected, unlikely to affect primary endpoint objectively measured",Low,"1 lost to follow up, consort, censorships shown on graph",Low risk,,Low risk ,"Not blinded, but outcome objectively measured",High risk (specify),early termination (stopping rule),Low,"validated neurocognitive test, QOL with FACT-BR",Low Risk,rigorous neurocognitive assessments with HVLT-R,Moderate/Unclear bias,"Only reported adverse events that were attributed to radiation, which likely under reports adverse events.",Low,,Neutral,"Only reported adverse events that were attributed to radiation, which likely under reports adverse events.",,double checked,
15,agarsa,3,"Yang, 2017{#15}",CNSDQFSH010,,China,,Unclear,na,Journal,,OK,,RCT,,NA,218,,No ,,"Bevacizumab+gefitinib+WBRT:  58.42(14.88),   Gefitinib+WBRT: 60.64 (13.57) WBRT:  58.78(10.92)","Bevacizumab+gefitinib+WBRT:  41% female,   Gefitinib+WBRT: 48% female WBRT:  40% female",Lung cancer only,,"bevacizumab+gefitinib+WBRT: 36%  more than 5 metasases,  Gefitinib+WBRT: 39% had 5 or more metastases,  WBRT:  40% had more than 5 metastases",N/A,N/A,good to moderate prognosis,Unclear,,"WBRT,Adjunct chemotherapy",KQ1 : WBRT +/- bevicizumab/gefitinib,WBRT+ bevacizumab + gefitinib,"4000 cGy, 20 fractions, qd",Bevacizumab (5 mg/kg every 14 days) and gefitinib (250 mg/day),OK,,76,76,Passive,,WBRT,"3000 cGy, 10 fractions, qd",,75,75,WBRT + gefitinib,"4000 cGy, 20 fractions, qd",Gefitinib 250 mg/day,77,77,"Overall survival,Disease-free survival,Intracranial progression/central nervous system failure,Number of adverse events,Vomiting,Other efficacy outcomes",,,,,,,,,,,,,,"The overall survival rates in the bevacizumab + gefitinib + WBRT, gefitinib + WBRT and WBRT groups were 48.6, 36.7, and 9.8%, respectively. The bevacizumab + gefitinib + WBRT group had the most favorable survival status.",,,,,,,,,,,,,,,,,,,Progression-free survival,,,,,,,"The median progression-free survival rates in the bevacizumab + gefitinib + WBRT, gefitinib + WBRT and WBRT groups were 29.8, 29.6, and 14.6%, respectively. The bevacizumab + gefitinib + WBRT group had the most favorable survival status.",,Progressive disease determined if the product of tumor diameters increased more than 25% or new lesions appeared,3,20,9,,,,,,,,,,,,,,,,,,Number of events (National Cancer Institute Common Toxicity Criteria (NCICTC) version 2.0),198,160,185,,,,,,,,,,,,,,,,,,,,Nausea/vomiting,18,12,14,,,,,,,,,,,,,,,,,,"Response rate (RR) combined complete response (SR) and partial response (PR); disease control rate combined CR, PR,  and stable disease (SD)",,,"The RR and DCR were 80.3 and 96.1%, respectively, in the bevacizumab + gefitinib + WBRT group; 70.1 and 84.3%, respectively, in the gefitinib + WBRT group; and 44.0 and 60.0%, respectively, in the WBRT group. The bevacizumab + gefitinib + WBRT group obtained higher DCR than gefitinib + WBRT group.",Moderate/Unclear ,selection unclear,Moderate/Unclear,"Not blinded but could have been blinded, but survival unlikely to be affected. Compliance to intended treatment not described.",Moderate/Unclear,"Missing data is stated to be present, but it does not disclose how much missing data and the attrition.",Low risk,"for survival, but imaging review could have been affected",Moderate/Unclear ,Unclear what was the primary versus secondary endpoints and what analysis was pre-specified.,Moderate/Unclear,Unclear how many received/completed their randomized treatment. Unclear if this was an intent-to-treat analyses or per protocol.,Unclear,"Quality of life was not assessed. Cognitive testing is unclear, likely not validated.",Moderate/Unclear,Unclear if collected actively or passively. Used NCICTC.,Moderate/Unclear bias,Severity/grade of the non-hematologic toxicities not clarified.,Neutral,based on above,Neutral,For reasons listed in #187-188,,double checked,
17,agarsa,3,"Andrews, 2004{#17}",NCT00002708,"Sperduto, 2014{#25}; Group Radiation Therapy Oncology, 2002{#6479}",USA,,Non industry,NCI,Journal,,OK,,RCT,,NA,333,,Yes,survival,"WBRT+stereotactic: 34% > 65, WBRT alone:  40% > 65",WBRT+stereotactic  surgery : 48% female  and WBRT alone:  47%,Different cancer types,"78% lung, breast or melanoma",mean 1.56,n/a,unclear (<= 4cm),good to moderate,Unclear,,"WBRT,WBRT + SRS",KQ1 : WBRT +/- SRS (WBRT as primary tx),WBRT + SRS,"WBRT: 3750 cGy, 15 fractions, qd. SRS: 1500-2400 cGy, 1 fraction",,OK,,164,164,Passive,,WBRT,"3750 cGy, 15 fractions, qd",,167,167,,,,,,"Overall survival,Cognitive function,Death due to brain metastases,Functional status,Number of patients with serious adverse events,Number of adverse events,Vomiting",,,,5.7,6.5,,,,,,,,,Mean survival time did not significantly differ between groups.,No HR reported,,,,,,,Mental status at 6 months,,,,,No difference in mental status was noted between groups.,,39,46,"WBRT+SRS (n= 137), WBRT (n - 149)",,,,,,,,,,,,,,,,,,,,KPS at 6 months,Validated,,,,,"A significant improvement in KPS was noted in the WBRT + SRS group,","Grade 4 acute toxicities (WBRT+SRS: n=160, WBRT alone: n=166)",1,0,,"Grade 4 late toxicities - WBRT+SRS: 2 (n=113), WBRT alone: 1 (n=112)",Number of events (acute toxicities),171,157,,Late toxicities -  WBRT+SRS: 40 (n=113); WBRT alone: 32 (n=112),,,,,,,,,,,,,,,,,,,"Acute (WBRT+SRS: n=160, WBRT alone: n=166)",28,25,,"Late - WBRT+SRS: 5 (n=113), WBRT alone: 3 (n=112)",,,,,,,,,,,,,,,,,,,,,Low risk,stratified by number of brain metastases(single vs 2–3) and extent of extracranial disease (none vs present). Randomization within strata by permutated blocks was done by use of computerized techniques at RTOG headquarters,Moderate/Unclear,"Not blinded, but survival unlikely to be affected. 19% 31/164 in the SRS did not receive SRS, but only 12/164 were due to physician/patient refusal which would be contributed by non-blinding.",Low,"Consort diagram, 0 loss to follow up",Low risk,"Not blinded, but survival unlikely to be affected",Low risk ,"reported what they said they would, detailed description in how they would report primary endpoint",Low risk,,High,Mental status scale as performance/function subject to detection bias. Subjective. Also may not reflect mental status the way they measure it,Moderate/Unclear,Unclear if collected actively or passively. Unclear if structured.,Moderate/Unclear bias,Unclear if collected actively or passively. Used RTOG,Low,,Neutral,Unclear how adverse events were collected. Reporting of events and their severity subject to several biases because of non-blinding.,,double checked,
18,agarsa,3,"Chabot, 2017{#18}",NCT01657799,"AbbVie, 2015{#6351}",USA,,Industry ,,Journal,,OK,,RCT,,NA,307,,No ,,"Placebo+WBRT: 60 [median],  Veliparib 50 mg+WBRT: 60 [median], and Veliparib 200 mg+WBRT:  62 [median]","Placebo+WBRT: 45% female,  Veliparib 50 mg+WBRT: 41% female,  Veliparib 200 mg+WBRT : 35%",Lung cancer only,,unclear (majority had >3),N/A,N/A,mixed,Unclear,,"WBRT : +placebo,Adjunct chemotherapy : WBRT+veliparib 50mg BID, WBRT+veliparib 200mg BID",KQ1 : WBRT +/- veliparib,WBRT + Veliparib,"3000 cGy, 10 fractions, qd",Veliparib 200mg bid,OK,,102,102,Passive,,WBRT + Placebo,"3000 cGy, 10 fractions, qd",Placebo,102,102,WBRT+ Veliparib 50mg,"3000 cGy, 10 fractions, qd",Veliparib 50mg bid,103,103,"Overall survival,Intracranial progression/central nervous system failure,Number of patients with serious adverse events,Number of adverse events,Fatigue,Seizure : convulsion,Vomiting,Headaches",,,,7.46,6.61,7.46,0.987,,0.715,1.363,0.967,0.703,1.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiographic progression found in either target lesions or new lesions,29,25,33,,,,,,,,,,,,,National Cancer Institute Common Terminology Criteria for Adverse Events (version 4.0),36,39,31,Placebo+WBRT (N=101),,90,91,90,,Placebo+WBRT (N=101),,,,,,,,21,22,27,,Placebo+WBRT (N=101),Convulsion,0,3,0,Placebo+WBRT (N=101),,11,15,5,,Placebo+WBRT (N=101),,21,15,18,Placebo+WBRT (N=101),,,,,,,,,,,,,,,Moderate/Unclear ,Methods for randomization not stated.,Low risk,Blinded but not described how; probably unlikely to affect survival,Low,only 1 patient lost to follow up for main result,Low risk,"double-blinded, agree that method for blinding not stated, but probably unlikely to influence outcome.",Low risk ,Reported what they said they would with designated primary and secondary endoints,Low risk,"No early termination, intent-to-treat analyses",Unclear,Unclear what scale used,Moderate/Unclear,Unclear if collected actively or passively. Used CTCAE,Low bias,"used CTCAE, all adverse events >G3/4",Low,,Neutral,Unclear how adverse events were collected. Reporting of events and their severity subject to several biases because of non-blinding.,,double checked,
19,agarsa,3,"Mahajan, 2017{#19}",NCT00950001,M.D. Anderson Cancer Center{#6506},USA,,Non industry,,Journal,,OK,,RCT,,NA,132,,Not relevant outcome,Local tumor-free recurrence,59 [median],47% female,Different cancer types,"60% lung, breast, melanoma",1.5 (mean),N/A,3 cm (median),"mixed, majority moderate",Unclear,mixed,"Surgery only,SRS plus surgery",KQ3 : surgery +/- SRS,Surgery + SRS,"1200-1600 cGy, 1 fraction",Complete resection of brain metastases,OK,,63,63,Passive,,Surgery only,,Complete resection of brain metastases,65,65,,,,,,"Overall survival,Death due to brain metastases,Intracranial progression/central nervous system failure,Number of adverse events,Other AE : leptomeningeal disease",,,,17,18,,1.29,,0.84,1.98,,,,,,,,,,,,,,,,,,Neurologic deaths,22,25,,,,,,,,,,,,Local recurrence,,,,0.46,0.24,0.88,,,,,,,,,,,,,,,,,,,No patients experienced adverse events related to placement of a stereotactic frame or treatment with SRS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leptomeningeal disease,,,,The incidence of Leptomeningeal disease did not differ between study arms at 12 months.,,,,,,,,,,Low risk,"randomized (1:1) through an institutional, computerized patient registration system to receive either SRS or OBS. A block randomization schedule was used to generate the random allocation sequence. Allocation was done with stratification factors and a block size of four",Low risk,"Not blinded, but survival unlikely to be affected.",Low,"consort, doesn't explicitly say how many lost to follow up though but data uses N from consort.  The survival data shows the proportion censored at each time interval.",Low risk,"Not blinded, but survival unlikely to be affected",Low risk ,"reported what they said they would, specified primary/secondary",Low risk,"no early termination, intent to treat analysis",Unclear,QOL and functional status were not assessed.,High Risk,Unclear how they measured/collected adverse events (only event was a pulmonary embolism). Unclear if adverse events collected actively/passively. No mention of assessment tool.,High bias,Unclear how they measured/collected adverse events (only event was a pulmonary embolism). Unclear if adverse events collected actively/passively. No mention of assessment tool.,Low,,High,Unclear how they measured/collected adverse events (only event was a pulmonary embolism). Unclear if adverse events collected actively/passively. No mention of assessment tool.,,double checked,
21,agarsa,3,"Zeng, 2016{#21}",N/A,,China,,Industry ,also a grant from National Natural Science Foundation of China,Journal,,OK,,RCT,,NA,64,,No ,,WBRT + sodium glycididazole: 57 [median]. WBRT: 56 [median],39% female,Lung cancer only,,N/A,N/A,N/A,"poor, more than 80% were ECOG 3-4",Poor,more than 80% were ECOG 3-4,"WBRT,Other : WBRT +Sodium glycidiazole",KQ1 : WBRT +/- sodium glycididazole,WBRT + Sodium Glycididazole,"3000 cGy, 10 fractions, qd","Radiosensitizer sodium glycididazole 700mg/m(2) intravenous infusion 30 minutes before radiotherapy, 3x a week",OK,,32,32,Passive,,WBRT + placebo,"3000 cGy, 10 fractions, qd",Placebo (100 mL of saline as intravenous infusion),32,32,,,,,,"Overall survival,Death due to brain metastases,Disease-free survival,Number of adverse events,Fatigue,Vomiting,Headaches",,,Overall survival time was defined as the time from the first day of enrollment to death or last follow-up,11,9,,,,,,,,,,,,,,,,,,,,,,,Neurological deaths,16,18,,,CNS progression-free survival,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of events,450,448,,,,,,,,,,,34,32,,,,,,,,,,32,32,,,,,32,32,,,,,,,,,,,,,,,,,Low risk,Randomized using a random number table found in a statistics book was used for simple randomization of subjects. A Simon’s minimax two-stage design was used for the study.; double blinded,Low risk,Double blinded with who knew what allocations explicitly stated.,Moderate/Unclear,"consort, does not discuss attrition, also from their survival data it almost seems as if they treated their censored data as events (or no patients were censored, but it should be clairfied).",Low risk,double-blinded,Moderate/Unclear ,"reported what they said they would, but unclear if prespecified at what time they assess radiographic response or if selective reporting",Low risk,"No early termination, intent to treat (everyone got their allocated treatment)",Unclear,QOL and functional status were not assessed,Moderate/Unclear,used RTOG/CTCAE reaction scales. Unclear how they collected adverse events.,Low bias,Severity done using the CTC. Reports number of participants affected (not events).,Neutral,,Neutral,,,double checked,
22,agarsa,3,"El-Hamamsy, 2016{#22}",N/A,,Egypt,,Non industry,,Journal,,OK,,RCT,,NA,50,,No ,,"WBRT + simvastatin: 53.6 (10.6),   WBRT:  55.2 (11.8)",50% female,Different cancer types,88% breast or lung,N/A,N/A,N/A,68% RPA class 3,Poor,,"WBRT,Other : Simvastatin",KQ1 : WBRT +/- simvastatin,WBRT + Simvastatin,"3000 cGy, 10 fractions, qd",Simvastatin 80 mg,OK,,25,15,Passive,,WBRT,"3000 cGy, 10 fractions, qd",,25,15,,,,,,"Overall survival,Quality of Life,Disease-free survival,Unclear outcome : radiological response",4 weeks,1 year,1-year overall survival,3.4,3,,,,,,,,,,,EORTC QLQ-C30 at 4 weeks,,,,,No significant differences between groups.,,,,,,,,,,,,1-year progression-free survival,1.6,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate/Unclear ,"Randomized,  not stated methods",Moderate/Unclear,"Not blinded study that could have been blinded, but not likely to affect outcome, but can affect QOL outcomes. What was their compliance with simvastatin?",High,"21 (almost half) were unable to complete the primary outcome with reasons listed in the manuscript. 3 noncompliant with follow up in control, 1 in statin arm. I would rate this as High for their primary outcome but Unclear/Moderate for survival. Unclear if they excluded patients who died before WBRT was completed from survival.",Moderate/Unclear,Not blinded study that could have been blinded but unlikely to affect  survival. Could have affect readings of radiologic response.,Low risk ,"Reported what they said they would and delineated primary/secondary outcomes. They  report the 1y survival data as well as median survival (since they don't display a graph, that's extra important).",Moderate/Unclear,Unclear if they did intent to treat or per protocol. I can't tell if they excluded patients who died prior to completing WBRT from their survival study.,Low,QLQC 30  and QLQC BN20,High Risk,Unclear method how adverse events were recorded/collected. No mention of assessment tool.,High bias,Listed side effects but not their grade or number of patients experiencing those side effects.,Neutral,,High,For reasons stated in #187-188.,,double checked,
